"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",10636,3276,5015,2345,,,,,,,,,,,,,,3276,5015,2345,10636,8.492279711769415,10.636,"R$",0.7984467574059247,,8.492279711769415,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 01:00:00",9149,2340,4402,2407,,,,,,,,,,,,,,2340,4402,2407,9149,7.304989383506805,9.149,"R$",0.7984467574059247,,7.304989383506805,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 02:00:00",9827,2852,4643,2332,,,,,,,,,,,,,,2852,4643,2332,9827,7.8463362850280225,9.827,"R$",0.7984467574059247,,7.8463362850280225,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 03:00:00",10880,3366,5210,2304,,,,,,,,,,,,,,3366,5210,2304,10880,8.687100720576462,10.88,"R$",0.7984467574059247,,8.687100720576462,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 04:00:00",10101,3277,4613,2211,,,,,,,,,,,,,,3277,4613,2211,10101,8.065110696557246,10.101,"R$",0.7984467574059247,,8.065110696557246,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 05:00:00",10179,2850,5111,2218,,,,,,,,,,,,,,2850,5111,2218,10179,8.127389543634909,10.179,"R$",0.7984467574059247,,8.127389543634909,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 06:00:00",9956,2418,5549,1989,,,,,,,,,,,,,,2418,5549,1989,9956,7.949335916733387,9.956,"R$",0.7984467574059247,,7.949335916733387,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 07:00:00",11122,3298,4792,3032,,,,,,,,,,,,,,3298,4792,3032,11122,8.880324835868695,11.122,"R$",0.7984467574059247,,8.880324835868695,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 08:00:00",10971,3401,5089,2481,,,,,,,,,,,,,,3401,5089,2481,10971,8.759759375500401,10.971,"R$",0.7984467574059247,,8.759759375500401,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 09:00:00",10622,3116,5036,2470,,,,,,,,,,,,,,3116,5036,2470,10622,8.481101457165732,10.622,"R$",0.7984467574059247,,8.481101457165732,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 10:00:00",10181,2546,4962,2673,,,,,,,,,,,,,,2546,4962,2673,10181,8.128986437149718,10.181,"R$",0.7984467574059247,,8.128986437149718,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 11:00:00",147974,55020,47027,45927,,,,,,,,,,,,,,55020,47027,45927,147974,118.1493604803843,147.974,"R$",0.7984467574059247,,118.1493604803843,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 12:00:00",261564,97170,81395,82999,,,,,,,,,,,,,,97170,81395,82999,261564,208.84492765412332,261.564,"R$",0.7984467574059247,,208.84492765412332,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 13:00:00",265762,98400,83121,84241,,,,,,,,,,,,,,98400,83121,84241,265762,212.19680714171338,265.762,"R$",0.7984467574059247,,212.19680714171338,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 14:00:00",265102,97496,82993,84613,,,,,,,,,,,,,,97496,82993,84613,265102,211.66983228182545,265.102,"R$",0.7984467574059247,,211.66983228182545,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 15:00:00",260856,95961,81684,83211,,,,,,,,,,,,,,95961,81684,83211,260856,208.2796273498799,260.856,"R$",0.7984467574059247,,208.2796273498799,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 16:00:00",261991,96858,82080,83053,,,,,,,,,,,,,,96858,82080,83053,261991,209.18586441953562,261.991,"R$",0.7984467574059247,,209.18586441953562,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 17:00:00",260608,96110,82128,82370,,,,,,,,,,,,,,96110,82128,82370,260608,208.08161255404323,260.608,"R$",0.7984467574059247,,208.08161255404323,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 18:00:00",260659,95684,82788,82187,,,,,,,,,,,,,,95684,82788,82187,260659,208.12233333867093,260.659,"R$",0.7984467574059247,,208.12233333867093,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 19:00:00",257098,94374,82850,79874,,,,,,,,,,,,,,94374,82850,79874,257098,205.27906443554846,257.098,"R$",0.7984467574059247,,205.27906443554846,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 20:00:00",254542,94447,81314,78781,,,,,,,,,,,,,,94447,81314,78781,254542,203.2382345236189,254.542,"R$",0.7984467574059247,,203.2382345236189,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 21:00:00",244572,90812,78619,75141,,,,,,,,,,,,,,90812,78619,75141,244572,195.27772035228182,244.572,"R$",0.7984467574059247,,195.27772035228182,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 22:00:00",226114,83419,72521,70174,,,,,,,,,,,,,,83419,72521,70174,226114,180.53999010408327,226.114,"R$",0.7984467574059247,,180.53999010408327,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"01/03/2017 23:00:00",31075,10387,11180,9508,,,,,,,,,,,,,,10387,11180,9508,31075,24.81173298638911,31.075,"R$",0.7984467574059247,,24.81173298638911,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 00:00:00",11562,3079,5097,3386,,,,,,,,,,,,,,3079,5097,3386,11562,9.2316414091273,11.562,"R$",0.7984467574059247,,9.2316414091273,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 01:00:00",10518,3370,4899,2249,,,,,,,,,,,,,,3370,4899,2249,10518,8.398062994395517,10.518,"R$",0.7984467574059247,,8.398062994395517,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 02:00:00",11028,3274,4927,2827,,,,,,,,,,,,,,3274,4927,2827,11028,8.805270840672538,11.028,"R$",0.7984467574059247,,8.805270840672538,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 03:00:00",10697,2415,4862,3420,,,,,,,,,,,,,,2415,4862,3420,10697,8.540984963971177,10.697,"R$",0.7984467574059247,,8.540984963971177,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 04:00:00",10672,2992,4983,2697,,,,,,,,,,,,,,2992,4983,2697,10672,8.52102379503603,10.672,"R$",0.7984467574059247,,8.52102379503603,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 05:00:00",10563,3329,4940,2294,,,,,,,,,,,,,,3329,4940,2294,10563,8.433993098478783,10.563,"R$",0.7984467574059247,,8.433993098478783,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 06:00:00",10902,3364,4995,2543,,,,,,,,,,,,,,3364,4995,2543,10902,8.704666549239391,10.902,"R$",0.7984467574059247,,8.704666549239391,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"02/03/2017 07:00:00",10664,2530,5494,2640,,,,,,,,,,,,,,2530,5494,2640,10664,8.514636220976781,10.664,"R$",0.7984467574059247,,8.514636220976781,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
