"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",7819,2556,2612,2651,,,,,,,,,,,,,,2556,2612,2651,7819,4.378640000000001,7.819,"R$",0.56,,4.378640000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 01:00:00",6347,2079,2126,2142,,,,,,,,,,,,,,2079,2126,2142,6347,3.5543200000000006,6.347,"R$",0.56,,3.5543200000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 02:00:00",6719,2209,2247,2263,,,,,,,,,,,,,,2209,2247,2263,6719,3.7626400000000007,6.719,"R$",0.56,,3.7626400000000007,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 03:00:00",7003,2299,2347,2357,,,,,,,,,,,,,,2299,2347,2357,7003,3.9216800000000003,7.003,"R$",0.56,,3.9216800000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 04:00:00",6377,2094,2139,2144,,,,,,,,,,,,,,2094,2139,2144,6377,3.57112,6.377,"R$",0.56,,3.57112,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 05:00:00",6345,2085,2130,2130,,,,,,,,,,,,,,2085,2130,2130,6345,3.5532000000000004,6.345,"R$",0.56,,3.5532000000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 06:00:00",6358,2083,2156,2119,,,,,,,,,,,,,,2083,2156,2119,6358,3.56048,6.358,"R$",0.56,,3.56048,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 07:00:00",6371,2093,2152,2126,,,,,,,,,,,,,,2093,2152,2126,6371,3.5677600000000007,6.371,"R$",0.56,,3.5677600000000007,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 08:00:00",6358,2091,2142,2125,,,,,,,,,,,,,,2091,2142,2125,6358,3.56048,6.358,"R$",0.56,,3.56048,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 09:00:00",6482,2121,2177,2184,,,,,,,,,,,,,,2121,2177,2184,6482,3.6299200000000003,6.482,"R$",0.56,,3.6299200000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 10:00:00",6783,2208,2283,2292,,,,,,,,,,,,,,2208,2283,2292,6783,3.7984800000000005,6.783,"R$",0.56,,3.7984800000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 11:00:00",6414,2089,2151,2174,,,,,,,,,,,,,,2089,2151,2174,6414,3.5918400000000004,6.414,"R$",0.56,,3.5918400000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 12:00:00",6591,2146,2211,2234,,,,,,,,,,,,,,2146,2211,2234,6591,3.6909600000000005,6.591,"R$",0.56,,3.6909600000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 13:00:00",6424,2093,2154,2177,,,,,,,,,,,,,,2093,2154,2177,6424,3.5974400000000006,6.424,"R$",0.56,,3.5974400000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 14:00:00",6637,2158,2235,2244,,,,,,,,,,,,,,2158,2235,2244,6637,3.71672,6.637,"R$",0.56,,3.71672,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 15:00:00",6454,2101,2175,2178,,,,,,,,,,,,,,2101,2175,2178,6454,3.61424,6.454,"R$",0.56,,3.61424,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 16:00:00",6459,2101,2183,2175,,,,,,,,,,,,,,2101,2183,2175,6459,3.6170400000000003,6.459,"R$",0.56,,3.6170400000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 17:00:00",6697,2174,2270,2253,,,,,,,,,,,,,,2174,2270,2253,6697,3.7503200000000003,6.697,"R$",0.56,,3.7503200000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 18:00:00",6452,2080,2183,2189,,,,,,,,,,,,,,2080,2183,2189,6452,3.6131200000000003,6.452,"R$",0.56,,3.6131200000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 19:00:00",6450,2061,2169,2220,,,,,,,,,,,,,,2061,2169,2220,6450,3.6120000000000005,6.45,"R$",0.56,,3.6120000000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 20:00:00",6400,2054,2140,2206,,,,,,,,,,,,,,2054,2140,2206,6400,3.5840000000000005,6.4,"R$",0.56,,3.5840000000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 21:00:00",6714,2163,2244,2307,,,,,,,,,,,,,,2163,2244,2307,6714,3.7598400000000005,6.714,"R$",0.56,,3.7598400000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 22:00:00",6471,2089,2161,2221,,,,,,,,,,,,,,2089,2161,2221,6471,3.6237600000000003,6.471,"R$",0.56,,3.6237600000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 23:00:00",6473,2096,2172,2205,,,,,,,,,,,,,,2096,2172,2205,6473,3.62488,6.473,"R$",0.56,,3.62488,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 00:00:00",6496,2121,2173,2202,,,,,,,,,,,,,,2121,2173,2202,6496,3.6377600000000005,6.496,"R$",0.56,,3.6377600000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 01:00:00",6453,2107,2166,2180,,,,,,,,,,,,,,2107,2166,2180,6453,3.6136800000000004,6.453,"R$",0.56,,3.6136800000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 02:00:00",6470,2127,2159,2184,,,,,,,,,,,,,,2127,2159,2184,6470,3.6232,6.47,"R$",0.56,,3.6232,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 03:00:00",6475,2126,2166,2183,,,,,,,,,,,,,,2126,2166,2183,6475,3.6260000000000003,6.475,"R$",0.56,,3.6260000000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 04:00:00",6454,2114,2171,2169,,,,,,,,,,,,,,2114,2171,2169,6454,3.61424,6.454,"R$",0.56,,3.61424,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 05:00:00",6472,2115,2177,2180,,,,,,,,,,,,,,2115,2177,2180,6472,3.6243200000000004,6.472,"R$",0.56,,3.6243200000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 06:00:00",6504,2130,2204,2170,,,,,,,,,,,,,,2130,2204,2170,6504,3.64224,6.504,"R$",0.56,,3.64224,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 07:00:00",6483,2115,2206,2162,,,,,,,,,,,,,,2115,2206,2162,6483,3.63048,6.483,"R$",0.56,,3.63048,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 08:00:00",6716,2198,2274,2244,,,,,,,,,,,,,,2198,2274,2244,6716,3.7609600000000003,6.716,"R$",0.56,,3.7609600000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 09:00:00",6494,2129,2191,2174,,,,,,,,,,,,,,2129,2191,2174,6494,3.6366400000000003,6.494,"R$",0.56,,3.6366400000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 10:00:00",6752,2205,2272,2275,,,,,,,,,,,,,,2205,2272,2275,6752,3.78112,6.752,"R$",0.56,,3.78112,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 11:00:00",6520,2138,2192,2190,,,,,,,,,,,,,,2138,2192,2190,6520,3.6512000000000002,6.52,"R$",0.56,,3.6512000000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 12:00:00",6749,2210,2277,2262,,,,,,,,,,,,,,2210,2277,2262,6749,3.77944,6.749,"R$",0.56,,3.77944,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 13:00:00",6730,2200,2264,2266,,,,,,,,,,,,,,2200,2264,2266,6730,3.7688000000000006,6.73,"R$",0.56,,3.7688000000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 14:00:00",6719,2191,2263,2265,,,,,,,,,,,,,,2191,2263,2265,6719,3.7626400000000007,6.719,"R$",0.56,,3.7626400000000007,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 15:00:00",6718,2191,2267,2260,,,,,,,,,,,,,,2191,2267,2260,6718,3.7620800000000005,6.718,"R$",0.56,,3.7620800000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 16:00:00",6498,2109,2193,2196,,,,,,,,,,,,,,2109,2193,2196,6498,3.6388800000000003,6.498,"R$",0.56,,3.6388800000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 17:00:00",6701,2173,2277,2251,,,,,,,,,,,,,,2173,2277,2251,6701,3.7525600000000003,6.701,"R$",0.56,,3.7525600000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 18:00:00",6511,2089,2206,2216,,,,,,,,,,,,,,2089,2206,2216,6511,3.6461600000000005,6.511,"R$",0.56,,3.6461600000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 19:00:00",7077,2267,2377,2433,,,,,,,,,,,,,,2267,2377,2433,7077,3.9631200000000004,7.077,"R$",0.56,,3.9631200000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 20:00:00",6110,1954,2053,2103,,,,,,,,,,,,,,1954,2053,2103,6110,3.4216000000000006,6.11,"R$",0.56,,3.4216000000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 21:00:00",7071,2268,2375,2428,,,,,,,,,,,,,,2268,2375,2428,7071,3.95976,7.071,"R$",0.56,,3.95976,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 22:00:00",6609,2120,2228,2261,,,,,,,,,,,,,,2120,2228,2261,6609,3.7010400000000003,6.609,"R$",0.56,,3.7010400000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 23:00:00",6604,2129,2214,2261,,,,,,,,,,,,,,2129,2214,2261,6604,3.69824,6.604,"R$",0.56,,3.69824,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 00:00:00",7557,2466,2515,2576,,,,,,,,,,,,,,2466,2515,2576,7557,4.231920000000001,7.557,"R$",0.56,,4.231920000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 01:00:00",7502,2455,2500,2547,,,,,,,,,,,,,,2455,2500,2547,7502,4.20112,7.502,"R$",0.56,,4.20112,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 02:00:00",6973,2294,2314,2365,,,,,,,,,,,,,,2294,2314,2365,6973,3.9048800000000004,6.973,"R$",0.56,,3.9048800000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 03:00:00",6566,2151,2198,2217,,,,,,,,,,,,,,2151,2198,2217,6566,3.6769600000000002,6.566,"R$",0.56,,3.6769600000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 04:00:00",6765,2206,2277,2282,,,,,,,,,,,,,,2206,2277,2282,6765,3.7884,6.765,"R$",0.56,,3.7884,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 05:00:00",6553,2141,2192,2220,,,,,,,,,,,,,,2141,2192,2220,6553,3.6696800000000005,6.553,"R$",0.56,,3.6696800000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 06:00:00",6542,2134,2213,2195,,,,,,,,,,,,,,2134,2213,2195,6542,3.66352,6.542,"R$",0.56,,3.66352,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 07:00:00",6528,2125,2237,2166,,,,,,,,,,,,,,2125,2237,2166,6528,3.6556800000000003,6.528,"R$",0.56,,3.6556800000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 08:00:00",6775,2215,2299,2261,,,,,,,,,,,,,,2215,2299,2261,6775,3.7940000000000005,6.775,"R$",0.56,,3.7940000000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 09:00:00",6727,2206,2273,2248,,,,,,,,,,,,,,2206,2273,2248,6727,3.7671200000000007,6.727,"R$",0.56,,3.7671200000000007,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 10:00:00",6571,2147,2217,2207,,,,,,,,,,,,,,2147,2217,2207,6571,3.6797600000000004,6.571,"R$",0.56,,3.6797600000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 11:00:00",6948,2270,2353,2325,,,,,,,,,,,,,,2270,2353,2325,6948,3.8908800000000006,6.948,"R$",0.56,,3.8908800000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
