"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",10636,3276,5015,2345,,,,,,,,,,,,,,3276,5015,2345,10636,9.78512,10.636,"R$",0.92,,9.78512,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 01:00:00",9149,2340,4402,2407,,,,,,,,,,,,,,2340,4402,2407,9149,8.41708,9.149,"R$",0.92,,8.41708,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 02:00:00",9827,2852,4643,2332,,,,,,,,,,,,,,2852,4643,2332,9827,9.040840000000001,9.827,"R$",0.92,,9.040840000000001,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 03:00:00",10880,3366,5210,2304,,,,,,,,,,,,,,3366,5210,2304,10880,10.0096,10.88,"R$",0.92,,10.0096,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 04:00:00",10101,3277,4613,2211,,,,,,,,,,,,,,3277,4613,2211,10101,9.29292,10.101,"R$",0.92,,9.29292,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 05:00:00",10179,2850,5111,2218,,,,,,,,,,,,,,2850,5111,2218,10179,9.36468,10.179,"R$",0.92,,9.36468,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 06:00:00",9956,2418,5549,1989,,,,,,,,,,,,,,2418,5549,1989,9956,9.15952,9.956,"R$",0.92,,9.15952,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 07:00:00",11122,3298,4792,3032,,,,,,,,,,,,,,3298,4792,3032,11122,10.232240000000001,11.122,"R$",0.92,,10.232240000000001,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 08:00:00",10971,3401,5089,2481,,,,,,,,,,,,,,3401,5089,2481,10971,10.09332,10.971,"R$",0.92,,10.09332,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 09:00:00",10622,3116,5036,2470,,,,,,,,,,,,,,3116,5036,2470,10622,9.77224,10.622,"R$",0.92,,9.77224,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 10:00:00",10181,2546,4962,2673,,,,,,,,,,,,,,2546,4962,2673,10181,9.36652,10.181,"R$",0.92,,9.36652,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 11:00:00",147974,55020,47027,45927,,,,,,,,,,,,,,55020,47027,45927,147974,136.13608,147.974,"R$",0.92,,136.13608,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 12:00:00",261564,97170,81395,82999,,,,,,,,,,,,,,97170,81395,82999,261564,240.63888000000003,261.564,"R$",0.92,,240.63888000000003,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 13:00:00",265762,98400,83121,84241,,,,,,,,,,,,,,98400,83121,84241,265762,244.50104000000002,265.762,"R$",0.92,,244.50104000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 14:00:00",265102,97496,82993,84613,,,,,,,,,,,,,,97496,82993,84613,265102,243.89383999999998,265.102,"R$",0.92,,243.89383999999998,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 15:00:00",260856,95961,81684,83211,,,,,,,,,,,,,,95961,81684,83211,260856,239.98752000000002,260.856,"R$",0.92,,239.98752000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 16:00:00",261991,96858,82080,83053,,,,,,,,,,,,,,96858,82080,83053,261991,241.03172,261.991,"R$",0.92,,241.03172,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 17:00:00",260608,96110,82128,82370,,,,,,,,,,,,,,96110,82128,82370,260608,239.75936000000002,260.608,"R$",0.92,,239.75936000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 18:00:00",260659,95684,82788,82187,,,,,,,,,,,,,,95684,82788,82187,260659,239.80628000000002,260.659,"R$",0.92,,239.80628000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 19:00:00",257098,94374,82850,79874,,,,,,,,,,,,,,94374,82850,79874,257098,236.53016000000002,257.098,"R$",0.92,,236.53016000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 20:00:00",254542,94447,81314,78781,,,,,,,,,,,,,,94447,81314,78781,254542,234.17864,254.542,"R$",0.92,,234.17864,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 21:00:00",244572,90812,78619,75141,,,,,,,,,,,,,,90812,78619,75141,244572,225.00624000000002,244.572,"R$",0.92,,225.00624000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 22:00:00",226114,83419,72521,70174,,,,,,,,,,,,,,83419,72521,70174,226114,208.02488000000002,226.114,"R$",0.92,,208.02488000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"01/03/2017 23:00:00",31075,10387,11180,9508,,,,,,,,,,,,,,10387,11180,9508,31075,28.589000000000002,31.075,"R$",0.92,,28.589000000000002,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"02/03/2017 00:00:00",11562,3079,5097,3386,,,,,,,,,,,,,,3079,5097,3386,11562,10.63704,11.562,"R$",0.92,,10.63704,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"02/03/2017 01:00:00",10518,3370,4899,2249,,,,,,,,,,,,,,3370,4899,2249,10518,9.67656,10.518,"R$",0.92,,9.67656,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"02/03/2017 02:00:00",11028,3274,4927,2827,,,,,,,,,,,,,,3274,4927,2827,11028,10.145760000000001,11.028,"R$",0.92,,10.145760000000001,0.92,"R$",0.02,"Amarela",0,0,0,0.92
"02/03/2017 03:00:00",10697,2415,4862,3420,,,,,,,,,,,,,,2415,4862,3420,10697,9.841239999999999,10.697,"R$",0.92,,9.841239999999999,0.92,"R$",0.02,"Amarela",0,0,0,0.92
