"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",71926,21459,27004,23463,,,,,,,,,,,,,,21459,27004,23463,71926,40.278560000000006,71.926,"R$",0.56,,40.278560000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 01:00:00",70726,20665,26580,23481,,,,,,,,,,,,,,20665,26580,23481,70726,39.60656,70.726,"R$",0.56,,39.60656,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 02:00:00",70852,20730,26667,23455,,,,,,,,,,,,,,20730,26667,23455,70852,39.67712000000001,70.852,"R$",0.56,,39.67712000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 03:00:00",71680,21539,26859,23282,,,,,,,,,,,,,,21539,26859,23282,71680,40.140800000000006,71.68,"R$",0.56,,40.140800000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 04:00:00",70753,20779,26732,23242,,,,,,,,,,,,,,20779,26732,23242,70753,39.621680000000005,70.753,"R$",0.56,,39.621680000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 05:00:00",70850,20848,26650,23352,,,,,,,,,,,,,,20848,26650,23352,70850,39.676,70.85,"R$",0.56,,39.676,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 06:00:00",71014,20590,26909,23515,,,,,,,,,,,,,,20590,26909,23515,71014,39.76784,71.014,"R$",0.56,,39.76784,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 07:00:00",70414,20703,26399,23312,,,,,,,,,,,,,,20703,26399,23312,70414,39.43184,70.414,"R$",0.56,,39.43184,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 08:00:00",194922,57534,74297,63091,,,,,,,,,,,,,,57534,74297,63091,194922,109.15632000000001,194.922,"R$",0.56,,109.15632000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 09:00:00",205433,60096,78010,67327,,,,,,,,,,,,,,60096,78010,67327,205433,115.04248000000001,205.433,"R$",0.56,,115.04248000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
