"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",7244,1613,1771,3860,,,,,,,,,,,,,,1613,1771,3860,7244,4.056640000000001,7.244,"R$",0.56,,4.056640000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 01:00:00",5634,1185,1382,3067,,,,,,,,,,,,,,1185,1382,3067,5634,3.1550400000000005,5.634,"R$",0.56,,3.1550400000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 02:00:00",5887,1171,1524,3192,,,,,,,,,,,,,,1171,1524,3192,5887,3.29672,5.887,"R$",0.56,,3.29672,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 03:00:00",5876,1097,1753,3026,,,,,,,,,,,,,,1097,1753,3026,5876,3.2905600000000006,5.876,"R$",0.56,,3.2905600000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 04:00:00",5947,1050,1636,3261,,,,,,,,,,,,,,1050,1636,3261,5947,3.3303200000000004,5.947,"R$",0.56,,3.3303200000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 05:00:00",5850,1169,1566,3115,,,,,,,,,,,,,,1169,1566,3115,5850,3.2760000000000002,5.85,"R$",0.56,,3.2760000000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 06:00:00",5941,1321,1549,3071,,,,,,,,,,,,,,1321,1549,3071,5941,3.32696,5.941,"R$",0.56,,3.32696,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 07:00:00",6237,1275,1774,3188,,,,,,,,,,,,,,1275,1774,3188,6237,3.4927200000000003,6.237,"R$",0.56,,3.4927200000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 08:00:00",23941,7186,7641,9114,,,,,,,,,,,,,,7186,7641,9114,23941,13.406960000000002,23.941,"R$",0.56,,13.406960000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 09:00:00",54627,17888,16953,19786,,,,,,,,,,,,,,17888,16953,19786,54627,30.591120000000004,54.627,"R$",0.56,,30.591120000000004,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 10:00:00",72784,23903,23327,25554,,,,,,,,,,,,,,23903,23327,25554,72784,40.759040000000006,72.784,"R$",0.56,,40.759040000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
