"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",9736,2696,5273,1767,,,,,,,,,,,,,,2696,5273,1767,9736,5.452160000000001,9.736,"R$",0.56,,5.452160000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 01:00:00",11733,3608,6011,2114,,,,,,,,,,,,,,3608,6011,2114,11733,6.570480000000001,11.733,"R$",0.56,,6.570480000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 02:00:00",9170,2498,5094,1578,,,,,,,,,,,,,,2498,5094,1578,9170,5.1352,9.17,"R$",0.56,,5.1352,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 03:00:00",11795,3525,6087,2183,,,,,,,,,,,,,,3525,6087,2183,11795,6.605200000000001,11.795,"R$",0.56,,6.605200000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 04:00:00",9227,2532,5151,1544,,,,,,,,,,,,,,2532,5151,1544,9227,5.167120000000001,9.227,"R$",0.56,,5.167120000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 05:00:00",8965,2434,4936,1595,,,,,,,,,,,,,,2434,4936,1595,8965,5.0204,8.965,"R$",0.56,,5.0204,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 06:00:00",9402,2647,5229,1526,,,,,,,,,,,,,,2647,5229,1526,9402,5.2651200000000005,9.402,"R$",0.56,,5.2651200000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 07:00:00",11806,3581,6008,2217,,,,,,,,,,,,,,3581,6008,2217,11806,6.61136,11.806,"R$",0.56,,6.61136,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 08:00:00",92327,35708,28443,28176,,,,,,,,,,,,,,35708,28443,28176,92327,51.703120000000006,92.327,"R$",0.56,,51.703120000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 09:00:00",202586,79605,60500,62481,,,,,,,,,,,,,,79605,60500,62481,202586,113.44816000000002,202.586,"R$",0.56,,113.44816000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 10:00:00",225952,87571,68944,69437,,,,,,,,,,,,,,87571,68944,69437,225952,126.53312000000001,225.952,"R$",0.56,,126.53312000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 11:00:00",259609,102205,78783,78621,,,,,,,,,,,,,,102205,78783,78621,259609,145.38104,259.609,"R$",0.56,,145.38104,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 12:00:00",264522,103033,81091,80398,,,,,,,,,,,,,,103033,81091,80398,264522,148.13232000000002,264.522,"R$",0.56,,148.13232000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 13:00:00",269691,104390,83328,81973,,,,,,,,,,,,,,104390,83328,81973,269691,151.02696,269.691,"R$",0.56,,151.02696,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 14:00:00",268806,104084,82742,81980,,,,,,,,,,,,,,104084,82742,81980,268806,150.53136,268.806,"R$",0.56,,150.53136,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 15:00:00",269172,104314,83109,81749,,,,,,,,,,,,,,104314,83109,81749,269172,150.73632000000003,269.172,"R$",0.56,,150.73632000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 16:00:00",268889,104574,82828,81487,,,,,,,,,,,,,,104574,82828,81487,268889,150.57784,268.889,"R$",0.56,,150.57784,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 17:00:00",266366,102513,82562,81291,,,,,,,,,,,,,,102513,82562,81291,266366,149.16496,266.366,"R$",0.56,,149.16496,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 18:00:00",270185,104120,84010,82055,,,,,,,,,,,,,,104120,84010,82055,270185,151.30360000000002,270.185,"R$",0.56,,151.30360000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 19:00:00",270167,102996,84467,82704,,,,,,,,,,,,,,102996,84467,82704,270167,151.29352,270.167,"R$",0.56,,151.29352,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 20:00:00",270254,103436,84073,82745,,,,,,,,,,,,,,103436,84073,82745,270254,151.34224000000003,270.254,"R$",0.56,,151.34224000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 21:00:00",267692,102853,81729,83110,,,,,,,,,,,,,,102853,81729,83110,267692,149.90752,267.692,"R$",0.56,,149.90752,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 22:00:00",232395,88520,72619,71256,,,,,,,,,,,,,,88520,72619,71256,232395,130.14120000000003,232.395,"R$",0.56,,130.14120000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"01/03/2017 23:00:00",29227,10529,11507,7191,,,,,,,,,,,,,,10529,11507,7191,29227,16.367120000000003,29.227,"R$",0.56,,16.367120000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 00:00:00",9131,3343,3895,1893,,,,,,,,,,,,,,3343,3895,1893,9131,5.113360000000001,9.131,"R$",0.56,,5.113360000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 01:00:00",9137,3428,3824,1885,,,,,,,,,,,,,,3428,3824,1885,9137,5.116720000000001,9.137,"R$",0.56,,5.116720000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 02:00:00",8862,3297,3753,1812,,,,,,,,,,,,,,3297,3753,1812,8862,4.962720000000001,8.862,"R$",0.56,,4.962720000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 03:00:00",11892,4398,4858,2636,,,,,,,,,,,,,,4398,4858,2636,11892,6.6595200000000006,11.892,"R$",0.56,,6.6595200000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 04:00:00",14197,5260,5757,3180,,,,,,,,,,,,,,5260,5757,3180,14197,7.9503200000000005,14.197,"R$",0.56,,7.9503200000000005,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 05:00:00",13358,5053,5323,2982,,,,,,,,,,,,,,5053,5323,2982,13358,7.480480000000001,13.358,"R$",0.56,,7.480480000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 06:00:00",9074,3405,3778,1891,,,,,,,,,,,,,,3405,3778,1891,9074,5.081440000000001,9.074,"R$",0.56,,5.081440000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 07:00:00",14102,5237,5647,3218,,,,,,,,,,,,,,5237,5647,3218,14102,7.897120000000001,14.102,"R$",0.56,,7.897120000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 08:00:00",16565,6394,6164,4007,,,,,,,,,,,,,,6394,6164,4007,16565,9.276400000000002,16.565,"R$",0.56,,9.276400000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 09:00:00",216718,86609,66540,63569,,,,,,,,,,,,,,86609,66540,63569,216718,121.36208,216.718,"R$",0.56,,121.36208,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 10:00:00",217271,87227,66080,63964,,,,,,,,,,,,,,87227,66080,63964,217271,121.67176,217.271,"R$",0.56,,121.67176,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 11:00:00",216330,86360,66084,63886,,,,,,,,,,,,,,86360,66084,63886,216330,121.14480000000002,216.33,"R$",0.56,,121.14480000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 12:00:00",221172,88526,67416,65230,,,,,,,,,,,,,,88526,67416,65230,221172,123.85632000000001,221.172,"R$",0.56,,123.85632000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 13:00:00",220849,87593,68113,65143,,,,,,,,,,,,,,87593,68113,65143,220849,123.67544000000001,220.849,"R$",0.56,,123.67544000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 14:00:00",225769,89387,70148,66234,,,,,,,,,,,,,,89387,70148,66234,225769,126.43064000000001,225.769,"R$",0.56,,126.43064000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 15:00:00",227610,90065,70884,66661,,,,,,,,,,,,,,90065,70884,66661,227610,127.46160000000002,227.61,"R$",0.56,,127.46160000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 16:00:00",234038,91697,72747,69594,,,,,,,,,,,,,,91697,72747,69594,234038,131.06128,234.038,"R$",0.56,,131.06128,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 17:00:00",244599,96060,76951,71588,,,,,,,,,,,,,,96060,76951,71588,244599,136.97544000000002,244.599,"R$",0.56,,136.97544000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 18:00:00",244656,94642,78220,71794,,,,,,,,,,,,,,94642,78220,71794,244656,137.00736,244.656,"R$",0.56,,137.00736,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 19:00:00",248481,96675,77616,74190,,,,,,,,,,,,,,96675,77616,74190,248481,139.14936,248.481,"R$",0.56,,139.14936,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 20:00:00",242273,94492,74632,73149,,,,,,,,,,,,,,94492,74632,73149,242273,135.67288000000002,242.273,"R$",0.56,,135.67288000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 21:00:00",217336,84028,68683,64625,,,,,,,,,,,,,,84028,68683,64625,217336,121.70816000000002,217.336,"R$",0.56,,121.70816000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 22:00:00",43106,14390,18898,9818,,,,,,,,,,,,,,14390,18898,9818,43106,24.139360000000003,43.106,"R$",0.56,,24.139360000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"02/03/2017 23:00:00",13611,3571,7564,2476,,,,,,,,,,,,,,3571,7564,2476,13611,7.622160000000001,13.611,"R$",0.56,,7.622160000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 00:00:00",28858,9513,13156,6189,,,,,,,,,,,,,,9513,13156,6189,28858,16.160480000000003,28.858,"R$",0.56,,16.160480000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 01:00:00",27387,9044,12464,5879,,,,,,,,,,,,,,9044,12464,5879,27387,15.336720000000001,27.387,"R$",0.56,,15.336720000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 02:00:00",33361,11321,14502,7538,,,,,,,,,,,,,,11321,14502,7538,33361,18.68216,33.361,"R$",0.56,,18.68216,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 03:00:00",35443,12069,15351,8023,,,,,,,,,,,,,,12069,15351,8023,35443,19.84808,35.443,"R$",0.56,,19.84808,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 04:00:00",32423,10916,14172,7335,,,,,,,,,,,,,,10916,14172,7335,32423,18.15688,32.423,"R$",0.56,,18.15688,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 05:00:00",11744,3239,6567,1938,,,,,,,,,,,,,,3239,6567,1938,11744,6.57664,11.744,"R$",0.56,,6.57664,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 06:00:00",9492,2516,5431,1545,,,,,,,,,,,,,,2516,5431,1545,9492,5.315520000000001,9.492,"R$",0.56,,5.315520000000001,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 07:00:00",9674,2465,5707,1502,,,,,,,,,,,,,,2465,5707,1502,9674,5.41744,9.674,"R$",0.56,,5.41744,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 08:00:00",109547,42755,34667,32125,,,,,,,,,,,,,,42755,34667,32125,109547,61.346320000000006,109.547,"R$",0.56,,61.346320000000006,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 09:00:00",199170,79558,60710,58902,,,,,,,,,,,,,,79558,60710,58902,199170,111.5352,199.17,"R$",0.56,,111.5352,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 10:00:00",232975,91919,73166,67890,,,,,,,,,,,,,,91919,73166,67890,232975,130.466,232.975,"R$",0.56,,130.466,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 11:00:00",233651,92354,73443,67854,,,,,,,,,,,,,,92354,73443,67854,233651,130.84456000000003,233.651,"R$",0.56,,130.84456000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 12:00:00",236126,92559,74467,69100,,,,,,,,,,,,,,92559,74467,69100,236126,132.23056000000003,236.126,"R$",0.56,,132.23056000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 13:00:00",238234,93451,75054,69729,,,,,,,,,,,,,,93451,75054,69729,238234,133.41104,238.234,"R$",0.56,,133.41104,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 14:00:00",239855,94337,75541,69977,,,,,,,,,,,,,,94337,75541,69977,239855,134.3188,239.855,"R$",0.56,,134.3188,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 15:00:00",239137,94342,75309,69486,,,,,,,,,,,,,,94342,75309,69486,239137,133.91672000000003,239.137,"R$",0.56,,133.91672000000003,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 16:00:00",238386,94234,74537,69615,,,,,,,,,,,,,,94234,74537,69615,238386,133.49616,238.386,"R$",0.56,,133.49616,0.56,"R$",0.02,"Amarela",0,0,0,0.56
"03/03/2017 17:00:00",240171,94470,75523,70178,,,,,,,,,,,,,,94470,75523,70178,240171,134.49576000000002,240.171,"R$",0.56,,134.49576000000002,0.56,"R$",0.02,"Amarela",0,0,0,0.56
