"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"05/05/2017 18:00:00",76650,76650,0,0,,,,,,,,,,,,,,76650,0,0,76650,59.716196641007706,76.65,"R$",0.779076277116865,,59.716196641007706,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"05/05/2017 19:00:00",492,492,0,0,,,,,,,,,,,,,,492,0,0,492,0.38330552834149756,0.492,"R$",0.779076277116865,,0.38330552834149756,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"05/05/2017 20:00:00",214,214,0,0,,,,,,,,,,,,,,214,0,0,214,0.1667223233030091,0.214,"R$",0.779076277116865,,0.1667223233030091,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"05/05/2017 21:00:00",175,175,0,0,,,,,,,,,,,,,,175,0,0,175,0.13633834849545137,0.175,"R$",0.779076277116865,,0.13633834849545137,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"05/05/2017 22:00:00",131,131,0,0,,,,,,,,,,,,,,131,0,0,131,0.10205899230230932,0.131,"R$",0.779076277116865,,0.10205899230230932,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"05/05/2017 23:00:00",190,190,0,0,,,,,,,,,,,,,,190,0,0,190,0.14802449265220435,0.19,"R$",0.779076277116865,,0.14802449265220435,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 00:00:00",125,125,0,0,,,,,,,,,,,,,,125,0,0,125,0.09738453463960813,0.125,"R$",0.779076277116865,,0.09738453463960813,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 01:00:00",190,190,0,0,,,,,,,,,,,,,,190,0,0,190,0.14802449265220435,0.19,"R$",0.779076277116865,,0.14802449265220435,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 02:00:00",141,141,0,0,,,,,,,,,,,,,,141,0,0,141,0.10984975507347795,0.141,"R$",0.779076277116865,,0.10984975507347795,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 03:00:00",365,365,0,0,,,,,,,,,,,,,,365,0,0,365,0.2843628411476557,0.365,"R$",0.779076277116865,,0.2843628411476557,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 04:00:00",817,817,0,0,,,,,,,,,,,,,,817,0,0,817,0.6365053184044787,0.817,"R$",0.779076277116865,,0.6365053184044787,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 05:00:00",815,815,0,0,,,,,,,,,,,,,,815,0,0,815,0.6349471658502449,0.815,"R$",0.779076277116865,,0.6349471658502449,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 06:00:00",227,227,0,0,,,,,,,,,,,,,,227,0,0,227,0.17685031490552836,0.227,"R$",0.779076277116865,,0.17685031490552836,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 07:00:00",167,167,0,0,,,,,,,,,,,,,,167,0,0,167,0.13010573827851646,0.167,"R$",0.779076277116865,,0.13010573827851646,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 08:00:00",717,717,0,0,,,,,,,,,,,,,,717,0,0,717,0.5585976906927922,0.717,"R$",0.779076277116865,,0.5585976906927922,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 09:00:00",591,591,0,0,,,,,,,,,,,,,,591,0,0,591,0.4604340797760672,0.591,"R$",0.779076277116865,,0.4604340797760672,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 10:00:00",336,336,0,0,,,,,,,,,,,,,,336,0,0,336,0.26176962911126667,0.336,"R$",0.779076277116865,,0.26176962911126667,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 11:00:00",245,245,0,0,,,,,,,,,,,,,,245,0,0,245,0.19087368789363193,0.245,"R$",0.779076277116865,,0.19087368789363193,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 12:00:00",281,281,0,0,,,,,,,,,,,,,,281,0,0,281,0.2189204338698391,0.281,"R$",0.779076277116865,,0.2189204338698391,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 13:00:00",211,211,0,0,,,,,,,,,,,,,,211,0,0,211,0.1643850944716585,0.211,"R$",0.779076277116865,,0.1643850944716585,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 14:00:00",201,201,0,0,,,,,,,,,,,,,,201,0,0,201,0.15659433170048986,0.201,"R$",0.779076277116865,,0.15659433170048986,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 15:00:00",243,243,0,0,,,,,,,,,,,,,,243,0,0,243,0.18931553533939818,0.243,"R$",0.779076277116865,,0.18931553533939818,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 16:00:00",189,189,0,0,,,,,,,,,,,,,,189,0,0,189,0.14724541637508748,0.189,"R$",0.779076277116865,,0.14724541637508748,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 17:00:00",249,249,0,0,,,,,,,,,,,,,,249,0,0,249,0.19398999300209938,0.249,"R$",0.779076277116865,,0.19398999300209938,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 18:00:00",197,197,0,0,,,,,,,,,,,,,,197,0,0,197,0.15347802659202242,0.197,"R$",0.779076277116865,,0.15347802659202242,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 19:00:00",192,192,0,0,,,,,,,,,,,,,,192,0,0,192,0.14958264520643808,0.192,"R$",0.779076277116865,,0.14958264520643808,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 20:00:00",135,135,0,0,,,,,,,,,,,,,,135,0,0,135,0.10517529741077679,0.135,"R$",0.779076277116865,,0.10517529741077679,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 21:00:00",133,133,0,0,,,,,,,,,,,,,,133,0,0,133,0.10361714485654305,0.133,"R$",0.779076277116865,,0.10361714485654305,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 22:00:00",165,165,0,0,,,,,,,,,,,,,,165,0,0,165,0.12854758572428274,0.165,"R$",0.779076277116865,,0.12854758572428274,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"06/05/2017 23:00:00",117,117,0,0,,,,,,,,,,,,,,117,0,0,117,0.09115192442267321,0.117,"R$",0.779076277116865,,0.09115192442267321,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 00:00:00",179,179,0,0,,,,,,,,,,,,,,179,0,0,179,0.13945465360391882,0.179,"R$",0.779076277116865,,0.13945465360391882,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 01:00:00",129,129,0,0,,,,,,,,,,,,,,129,0,0,129,0.10050083974807558,0.129,"R$",0.779076277116865,,0.10050083974807558,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 02:00:00",262,262,0,0,,,,,,,,,,,,,,262,0,0,262,0.20411798460461864,0.262,"R$",0.779076277116865,,0.20411798460461864,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 03:00:00",367,367,0,0,,,,,,,,,,,,,,367,0,0,367,0.28592099370188945,0.367,"R$",0.779076277116865,,0.28592099370188945,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 04:00:00",200,200,0,0,,,,,,,,,,,,,,200,0,0,200,0.15581525542337302,0.2,"R$",0.779076277116865,,0.15581525542337302,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 05:00:00",212,212,0,0,,,,,,,,,,,,,,212,0,0,212,0.16516417074877537,0.212,"R$",0.779076277116865,,0.16516417074877537,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 06:00:00",119,119,0,0,,,,,,,,,,,,,,119,0,0,119,0.09271007697690693,0.119,"R$",0.779076277116865,,0.09271007697690693,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 07:00:00",179,179,0,0,,,,,,,,,,,,,,179,0,0,179,0.13945465360391882,0.179,"R$",0.779076277116865,,0.13945465360391882,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 08:00:00",119,119,0,0,,,,,,,,,,,,,,119,0,0,119,0.09271007697690693,0.119,"R$",0.779076277116865,,0.09271007697690693,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 09:00:00",151,151,0,0,,,,,,,,,,,,,,151,0,0,151,0.11764051784464662,0.151,"R$",0.779076277116865,,0.11764051784464662,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 10:00:00",146,146,0,0,,,,,,,,,,,,,,146,0,0,146,0.11374513645906228,0.146,"R$",0.779076277116865,,0.11374513645906228,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 11:00:00",135,135,0,0,,,,,,,,,,,,,,135,0,0,135,0.10517529741077679,0.135,"R$",0.779076277116865,,0.10517529741077679,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 12:00:00",175,175,0,0,,,,,,,,,,,,,,175,0,0,175,0.13633834849545137,0.175,"R$",0.779076277116865,,0.13633834849545137,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 13:00:00",117,117,0,0,,,,,,,,,,,,,,117,0,0,117,0.09115192442267321,0.117,"R$",0.779076277116865,,0.09115192442267321,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 14:00:00",176,176,0,0,,,,,,,,,,,,,,176,0,0,176,0.13711742477256822,0.176,"R$",0.779076277116865,,0.13711742477256822,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 15:00:00",289,289,0,0,,,,,,,,,,,,,,289,0,0,289,0.22515304408677397,0.289,"R$",0.779076277116865,,0.22515304408677397,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 16:00:00",508,508,0,0,,,,,,,,,,,,,,508,0,0,508,0.39577074877536744,0.508,"R$",0.779076277116865,,0.39577074877536744,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 17:00:00",488,488,0,0,,,,,,,,,,,,,,488,0,0,488,0.3801892232330301,0.488,"R$",0.779076277116865,,0.3801892232330301,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 18:00:00",527,527,0,0,,,,,,,,,,,,,,527,0,0,527,0.4105731980405879,0.527,"R$",0.779076277116865,,0.4105731980405879,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 19:00:00",496,496,0,0,,,,,,,,,,,,,,496,0,0,496,0.38642183344996506,0.496,"R$",0.779076277116865,,0.38642183344996506,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 20:00:00",447,447,0,0,,,,,,,,,,,,,,447,0,0,447,0.34824709587123864,0.447,"R$",0.779076277116865,,0.34824709587123864,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 21:00:00",372,372,0,0,,,,,,,,,,,,,,372,0,0,372,0.28981637508747377,0.372,"R$",0.779076277116865,,0.28981637508747377,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 22:00:00",176,176,0,0,,,,,,,,,,,,,,176,0,0,176,0.13711742477256822,0.176,"R$",0.779076277116865,,0.13711742477256822,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"07/05/2017 23:00:00",186,186,0,0,,,,,,,,,,,,,,186,0,0,186,0.14490818754373688,0.186,"R$",0.779076277116865,,0.14490818754373688,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 00:00:00",124,124,0,0,,,,,,,,,,,,,,124,0,0,124,0.09660545836249126,0.124,"R$",0.779076277116865,,0.09660545836249126,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 01:00:00",175,175,0,0,,,,,,,,,,,,,,175,0,0,175,0.13633834849545137,0.175,"R$",0.779076277116865,,0.13633834849545137,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 02:00:00",160,160,0,0,,,,,,,,,,,,,,160,0,0,160,0.1246522043386984,0.16,"R$",0.779076277116865,,0.1246522043386984,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 03:00:00",191,191,0,0,,,,,,,,,,,,,,191,0,0,191,0.14880356892932123,0.191,"R$",0.779076277116865,,0.14880356892932123,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 04:00:00",281,281,0,0,,,,,,,,,,,,,,281,0,0,281,0.2189204338698391,0.281,"R$",0.779076277116865,,0.2189204338698391,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 05:00:00",432,432,0,0,,,,,,,,,,,,,,432,0,0,432,0.3365609517144857,0.432,"R$",0.779076277116865,,0.3365609517144857,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 06:00:00",317,317,0,0,,,,,,,,,,,,,,317,0,0,317,0.24696717984604621,0.317,"R$",0.779076277116865,,0.24696717984604621,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 07:00:00",275,275,0,0,,,,,,,,,,,,,,275,0,0,275,0.2142459762071379,0.275,"R$",0.779076277116865,,0.2142459762071379,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
"08/05/2017 08:00:00",250,250,0,0,,,,,,,,,,,,,,250,0,0,250,0.19476906927921625,0.25,"R$",0.779076277116865,,0.19476906927921625,0.779076277116865,"R$",0.03,"Vermelha",20,1.65,6.9,0.779076277116865
