"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag value","offPeak invoice flag flag","invoice value","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif","peak cepa","peak cepb","peak cepc","peak activeEnergy","peak invoice value","peak invoice activeEnergy","peak invoice currency","peak invoice tarrif","peak invoice flag value","peak invoice flag flag"
"01/03/2017 00:00:00",321,193,87,41,,,,,,,,,,,,,,193,87,41,321,0.2359626802374894,0.321,"R$",0.7350862312694374,0.02,"Amarela",0.2359626802374894,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 01:00:00",515,289,85,141,,,,,,,,,,,,,,289,85,141,515,0.37856940910376025,0.515,"R$",0.7350862312694374,0.02,"Amarela",0.37856940910376025,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 02:00:00",501,281,87,133,,,,,,,,,,,,,,281,87,133,501,0.36827820186598814,0.501,"R$",0.7350862312694374,0.02,"Amarela",0.36827820186598814,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 03:00:00",493,277,87,129,,,,,,,,,,,,,,277,87,129,493,0.36239751201583265,0.493,"R$",0.7350862312694374,0.02,"Amarela",0.36239751201583265,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 04:00:00",495,278,88,129,,,,,,,,,,,,,,278,88,129,495,0.36386768447837153,0.495,"R$",0.7350862312694374,0.02,"Amarela",0.36386768447837153,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 05:00:00",490,276,87,127,,,,,,,,,,,,,,276,87,127,490,0.3601922533220243,0.49,"R$",0.7350862312694374,0.02,"Amarela",0.3601922533220243,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 06:00:00",490,275,88,127,,,,,,,,,,,,,,275,88,127,490,0.3601922533220243,0.49,"R$",0.7350862312694374,0.02,"Amarela",0.3601922533220243,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 07:00:00",487,274,87,126,,,,,,,,,,,,,,274,87,126,487,0.357986994628216,0.487,"R$",0.7350862312694374,0.02,"Amarela",0.357986994628216,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 08:00:00",543,280,138,125,,,,,,,,,,,,,,280,138,125,543,0.3991518235793045,0.543,"R$",0.7350862312694374,0.02,"Amarela",0.3991518235793045,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 09:00:00",795,450,221,124,,,,,,,,,,,,,,450,221,124,795,0.5843935538592028,0.795,"R$",0.7350862312694374,0.02,"Amarela",0.5843935538592028,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 10:00:00",916,358,432,126,,,,,,,,,,,,,,358,432,126,916,0.6733389878428047,0.916,"R$",0.7350862312694374,0.02,"Amarela",0.6733389878428047,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 11:00:00",918,328,462,128,,,,,,,,,,,,,,328,462,128,918,0.6748091603053435,0.918,"R$",0.7350862312694374,0.02,"Amarela",0.6748091603053435,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 12:00:00",686,298,261,127,,,,,,,,,,,,,,298,261,127,686,0.5042691546508341,0.686,"R$",0.7350862312694374,0.02,"Amarela",0.5042691546508341,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 13:00:00",812,355,327,130,,,,,,,,,,,,,,355,327,130,812,0.5968900197907832,0.812,"R$",0.7350862312694374,0.02,"Amarela",0.5968900197907832,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 14:00:00",1031,370,530,131,,,,,,,,,,,,,,370,530,131,1031,0.7578739044387899,1.031,"R$",0.7350862312694374,0.02,"Amarela",0.7578739044387899,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 15:00:00",801,427,245,129,,,,,,,,,,,,,,427,245,129,801,0.5888040712468194,0.801,"R$",0.7350862312694374,0.02,"Amarela",0.5888040712468194,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 16:00:00",603,454,20,129,,,,,,,,,,,,,,454,20,129,603,0.44325699745547076,0.603,"R$",0.7350862312694374,0.02,"Amarela",0.44325699745547076,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 17:00:00",417,287,0,130,,,,,,,,,,,,,,287,0,130,417,0.3065309584393554,0.417,"R$",0.7350862312694374,0.02,"Amarela",0.3065309584393554,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 18:00:00",412,283,0,129,,,,,,,,,,,,,,,,,,,,,,,,0.3610969748374328,"R$",0.02,"Amarela",22,1.56,5.7,0.8764489680520214,283,0,129,412,0.3610969748374328,0.412,"R$",0.8764489680520214,0.02,"Amarela"
"01/03/2017 19:00:00",409,281,1,127,,,,,,,,,,,,,,,,,,,,,,,,0.35846762793327674,"R$",0.02,"Amarela",22,1.56,5.7,0.8764489680520214,281,1,127,409,0.35846762793327674,0.409,"R$",0.8764489680520214,0.02,"Amarela"
"01/03/2017 20:00:00",548,387,34,127,,,,,,,,,,,,,,,,,,,,,,,,0.4802940344925078,"R$",0.02,"Amarela",22,1.56,5.7,0.8764489680520214,387,34,127,548,0.4802940344925078,0.548,"R$",0.8764489680520214,0.02,"Amarela"
"01/03/2017 21:00:00",1211,597,484,130,,,,,,,,,,,,,,597,484,130,1211,0.8901894260672888,1.211,"R$",0.7350862312694374,0.02,"Amarela",0.8901894260672888,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 22:00:00",1045,550,363,132,,,,,,,,,,,,,,550,363,132,1045,0.768165111676562,1.045,"R$",0.7350862312694374,0.02,"Amarela",0.768165111676562,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"01/03/2017 23:00:00",1111,448,532,131,,,,,,,,,,,,,,448,532,131,1111,0.816680802940345,1.111,"R$",0.7350862312694374,0.02,"Amarela",0.816680802940345,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"02/03/2017 00:00:00",966,334,500,132,,,,,,,,,,,,,,334,500,132,966,0.7100932994062765,0.966,"R$",0.7350862312694374,0.02,"Amarela",0.7100932994062765,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
"02/03/2017 01:00:00",871,283,457,131,,,,,,,,,,,,,,283,457,131,871,0.64026010743568,0.871,"R$",0.7350862312694374,0.02,"Amarela",0.64026010743568,"R$",0.02,"Amarela",22,1.56,5.7,0.7350862312694374,,,,,,,,,,
