"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"01/03/2017 00:00:00",507,114,393,0,,,,,,,,,,,,,,114,393,0,507,0.31060336316397225,0.507,"R$",0.612629907621247,,0.31060336316397225,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 01:00:00",469,119,350,0,,,,,,,,,,,,,,119,350,0,469,0.28732342667436483,0.469,"R$",0.612629907621247,,0.28732342667436483,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 02:00:00",486,111,375,0,,,,,,,,,,,,,,111,375,0,486,0.29773813510392605,0.486,"R$",0.612629907621247,,0.29773813510392605,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 03:00:00",368,143,225,0,,,,,,,,,,,,,,143,225,0,368,0.2254478060046189,0.368,"R$",0.612629907621247,,0.2254478060046189,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 04:00:00",321,114,207,0,,,,,,,,,,,,,,114,207,0,321,0.1966542003464203,0.321,"R$",0.612629907621247,,0.1966542003464203,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 05:00:00",310,112,198,0,,,,,,,,,,,,,,112,198,0,310,0.18991527136258657,0.31,"R$",0.612629907621247,,0.18991527136258657,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 06:00:00",334,107,227,0,,,,,,,,,,,,,,107,227,0,334,0.20461838914549652,0.334,"R$",0.612629907621247,,0.20461838914549652,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 07:00:00",418,114,304,0,,,,,,,,,,,,,,114,304,0,418,0.25607930138568125,0.418,"R$",0.612629907621247,,0.25607930138568125,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 08:00:00",393,117,276,0,,,,,,,,,,,,,,117,276,0,393,0.2407635536951501,0.393,"R$",0.612629907621247,,0.2407635536951501,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
"01/03/2017 09:00:00",695,131,564,0,,,,,,,,,,,,,,131,564,0,695,0.4257777857967667,0.695,"R$",0.612629907621247,,0.4257777857967667,0.612629907621247,"R$",0.02,"Amarela",25,1.02,4.7,0.612629907621247
