"date","activeEnergy","cepa","cepb","cepc","AVGpS","AVGqS","AVGsS","FPS","AVGpA","AVGpB","AVGpC","AVGqA","AVGqB","AVGqC","AVGsA","AVGsB","AVGsC","offPeak cepa","offPeak cepb","offPeak cepc","offPeak activeEnergy","offPeak invoice value","offPeak invoice activeEnergy","offPeak invoice currency","offPeak invoice tarrif","offPeak invoice flag","invoice value","invoice tariff","invoice currency","invoice flag value","invoice flag flag","invoice taxes icms","invoice taxes pis","invoice taxes cofins","invoice tarrif"
"13/03/2017 17:00:00",1747400,484369,106479,1156550,,,,,,,,,,,,,,484369,106479,1156550,1747400,1395.205863891113,1747.4,"R$",0.7984467574059247,,1395.205863891113,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 18:00:00",3704,1009,429,2266,,,,,,,,,,,,,,1009,429,2266,3704,2.9574467894315455,3.704,"R$",0.7984467574059247,,2.9574467894315455,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 19:00:00",5454,1825,352,3277,,,,,,,,,,,,,,1825,352,3277,5454,4.354728614891913,5.454,"R$",0.7984467574059247,,4.354728614891913,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 20:00:00",6374,2483,237,3654,,,,,,,,,,,,,,2483,237,3654,6374,5.089299631705364,6.374,"R$",0.7984467574059247,,5.089299631705364,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 21:00:00",6299,2140,462,3697,,,,,,,,,,,,,,2140,462,3697,6299,5.02941612489992,6.299,"R$",0.7984467574059247,,5.02941612489992,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 22:00:00",7511,2828,384,4299,,,,,,,,,,,,,,2828,384,4299,7511,5.997133594875901,7.511,"R$",0.7984467574059247,,5.997133594875901,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"13/03/2017 23:00:00",6328,2382,437,3509,,,,,,,,,,,,,,2382,437,3509,6328,5.052571080864692,6.328,"R$",0.7984467574059247,,5.052571080864692,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 00:00:00",6952,2240,812,3900,,,,,,,,,,,,,,2240,812,3900,6952,5.550801857485989,6.952,"R$",0.7984467574059247,,5.550801857485989,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 01:00:00",7923,2703,797,4423,,,,,,,,,,,,,,2703,797,4423,7923,6.3260936589271415,7.923,"R$",0.7984467574059247,,6.3260936589271415,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 02:00:00",6587,2024,743,3820,,,,,,,,,,,,,,2024,743,3820,6587,5.259368791032826,6.587,"R$",0.7984467574059247,,5.259368791032826,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 03:00:00",6898,2236,726,3936,,,,,,,,,,,,,,2236,726,3936,6898,5.507685732586069,6.898,"R$",0.7984467574059247,,5.507685732586069,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 04:00:00",5365,1734,603,3028,,,,,,,,,,,,,,1734,603,3028,5365,4.283666853482787,5.365,"R$",0.7984467574059247,,4.283666853482787,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 05:00:00",6888,2323,722,3843,,,,,,,,,,,,,,2323,722,3843,6888,5.49970126501201,6.888,"R$",0.7984467574059247,,5.49970126501201,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 06:00:00",6782,2312,589,3881,,,,,,,,,,,,,,2312,589,3881,6782,5.415065908726982,6.782,"R$",0.7984467574059247,,5.415065908726982,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 07:00:00",5269,1945,642,2682,,,,,,,,,,,,,,1945,642,2682,5269,4.207015964771817,5.269,"R$",0.7984467574059247,,4.207015964771817,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 08:00:00",4019,1411,-475,3083,,,,,,,,,,,,,,1411,-475,3083,4019,3.2089575180144116,4.019,"R$",0.7984467574059247,,3.2089575180144116,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 09:00:00",3232,1087,-518,2663,,,,,,,,,,,,,,1087,-518,2663,3232,2.580579919935949,3.232,"R$",0.7984467574059247,,2.580579919935949,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 10:00:00",3494,943,-469,3020,,,,,,,,,,,,,,943,-469,3020,3494,2.7897729703763012,3.494,"R$",0.7984467574059247,,2.7897729703763012,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 11:00:00",5540,2243,333,2964,,,,,,,,,,,,,,2243,333,2964,5540,4.423395036028823,5.54,"R$",0.7984467574059247,,4.423395036028823,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 12:00:00",7134,2054,656,4424,,,,,,,,,,,,,,2054,656,4424,7134,5.696119167333867,7.134,"R$",0.7984467574059247,,5.696119167333867,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 13:00:00",5016,1973,575,2468,,,,,,,,,,,,,,1973,575,2468,5016,4.005008935148118,5.016,"R$",0.7984467574059247,,4.005008935148118,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 14:00:00",6064,2457,458,3149,,,,,,,,,,,,,,2457,458,3149,6064,4.841781136909527,6.064,"R$",0.7984467574059247,,4.841781136909527,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 15:00:00",4882,1831,180,2871,,,,,,,,,,,,,,1831,180,2871,4882,3.898017069655724,4.882,"R$",0.7984467574059247,,3.898017069655724,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
"14/03/2017 16:00:00",5197,1737,445,3015,,,,,,,,,,,,,,1737,445,3015,5197,4.149527798238591,5.197,"R$",0.7984467574059247,,4.149527798238591,0.7984467574059247,"R$",0.02,"Amarela",29,1.65,6.9,0.7984467574059247
